Metric,Bank,Value
PBT margin,Suryoday Small Finance Bank,0.0923811155
current ratio/quick ratio,Suryoday Small Finance Bank,2.486390807
Debt equity ratio,Suryoday Small Finance Bank,8.235690365
Return on net worth/ROE,Suryoday Small Finance Bank,0.07312155972
Inventory Turnover days,Suryoday Small Finance Bank,0.0
Receivables Turnover days,Suryoday Small Finance Bank,0.0
Payables Turnover days,Suryoday Small Finance Bank,0.0
Net WC turnover days,Suryoday Small Finance Bank,0.0
ROA,Suryoday Small Finance Bank,0.04696499871
EBIT,Suryoday Small Finance Bank,901.48
Tangible assets,Suryoday Small Finance Bank,298.04
Intangible assets,Suryoday Small Finance Bank,0.0
Net Current Assets,Suryoday Small Finance Bank,1024.48
WC debt as a % of WC,Suryoday Small Finance Bank,0.5978106108
Revenue growth (YoY),Ujjivan Small Finance Bank,0.09081280815
Gross margin,Ujjivan Small Finance Bank,0.5584690072
EBITDA margin,Ujjivan Small Finance Bank,0.4131833888
PBT margin,Ujjivan Small Finance Bank,0.1314342598
current ratio/quick ratio,Ujjivan Small Finance Bank,2.192116004
Debt equity ratio,Ujjivan Small Finance Bank,7.35369662
Return on net worth/ROE,Ujjivan Small Finance Bank,0.1030960213
Inventory Turnover days,Ujjivan Small Finance Bank,0.0
Receivables Turnover days,Ujjivan Small Finance Bank,0.0
Payables Turnover days,Ujjivan Small Finance Bank,0.0
Net WC turnover days,Ujjivan Small Finance Bank,0.0
ROA,Ujjivan Small Finance Bank,0.05103038631
EBIT,Ujjivan Small Finance Bank,2863.96
Tangible assets,Ujjivan Small Finance Bank,493.07
Intangible assets,Ujjivan Small Finance Bank,0.0
Net Current Assets,Ujjivan Small Finance Bank,1691.1
WC debt as a % of WC,Ujjivan Small Finance Bank,0.5438197622
Revenue growth (YoY),Utkarsh Small Finance Bank,-0.1025649879
Gross margin,Utkarsh Small Finance Bank,0.4370630819
EBITDA margin,Utkarsh Small Finance Bank,-0.01051858955
PBT margin,Utkarsh Small Finance Bank,-0.445903551
current ratio/quick ratio,Utkarsh Small Finance Bank,1.016495663
Debt equity ratio,Utkarsh Small Finance Bank,8.99804849
Return on net worth/ROE,Utkarsh Small Finance Bank,-0.4229998861
Inventory Turnover days,Utkarsh Small Finance Bank,0.0
Receivables Turnover days,Utkarsh Small Finance Bank,0.0
Payables Turnover days,Utkarsh Small Finance Bank,0.0
Net WC turnover days,Utkarsh Small Finance Bank,0.0
ROA,Utkarsh Small Finance Bank,-0.001306406797
EBIT,Utkarsh Small Finance Bank,-35.54
Tangible assets,Utkarsh Small Finance Bank,457.83
Intangible assets,Utkarsh Small Finance Bank,0.0
Net Current Assets,Utkarsh Small Finance Bank,27.46
WC debt as a % of WC,Utkarsh Small Finance Bank,0.01622797168
